age,gender,item_purchased,category,purchase_amount,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,previous_purchases,payment_method,frequency_of_purchases,age_group
55,MALE,2,1,53,16,0,7,3,3.1,Subscribed,1,1,14,5,3,0
19,MALE,23,1,64,18,0,12,3,3.1,Subscribed,1,1,2,1,3,1
50,MALE,11,1,73,20,2,12,1,3.1,Subscribed,2,1,23,2,6,0
21,MALE,14,2,90,38,1,12,1,3.5,Subscribed,3,1,49,4,6,1
45,MALE,2,1,49,36,1,21,1,2.7,Subscribed,2,1,31,4,0,0
46,MALE,20,2,20,49,1,23,2,2.9,Subscribed,4,1,14,5,6,0
63,MALE,16,1,85,25,1,7,0,3.2,Subscribed,2,1,49,1,5,3
27,MALE,18,1,34,17,0,4,3,3.2,Subscribed,2,1,19,2,6,1
26,MALE,4,3,97,47,0,19,2,2.6,Subscribed,1,1,8,5,0,1
57,MALE,7,0,31,24,1,16,1,4.8,Subscribed,0,1,4,1,5,0
53,MALE,17,2,34,3,0,17,0,4.1,Subscribed,5,1,26,0,1,0
30,MALE,18,1,68,10,2,13,3,4.9,Subscribed,5,1,10,0,3,1
61,MALE,4,3,72,7,1,6,3,4.5,Subscribed,1,1,37,5,3,3
65,MALE,5,1,51,28,1,22,1,4.7,Subscribed,1,1,31,4,6,3
64,MALE,4,3,53,31,0,20,3,4.7,Subscribed,2,1,34,3,6,3
64,MALE,19,1,81,38,1,20,3,2.8,Subscribed,5,1,8,4,4,3
25,MALE,22,0,36,0,2,7,1,4.1,Subscribed,3,1,44,3,1,1
53,MALE,5,1,38,23,3,10,3,4.7,Subscribed,0,1,36,5,5,0
52,MALE,23,1,48,25,2,1,2,4.6,Subscribed,2,1,17,1,6,0
66,MALE,13,1,90,38,1,8,2,3.3,Subscribed,4,1,46,3,1,3
21,MALE,13,1,51,17,1,1,3,2.8,Subscribed,1,1,50,1,2,1
31,MALE,13,1,62,32,1,4,3,4.1,Subscribed,5,1,22,3,5,1
56,MALE,13,1,37,4,1,15,2,3.2,Subscribed,5,1,32,3,0,0
31,MALE,13,1,88,35,3,23,3,4.4,Subscribed,1,1,40,2,6,1
18,MALE,10,3,22,8,1,8,0,2.9,Subscribed,5,1,16,3,6,1
18,MALE,9,1,25,42,1,19,2,3.6,Subscribed,1,1,14,4,0,1
38,MALE,12,0,20,27,1,18,1,3.6,Subscribed,3,1,13,2,0,2
56,MALE,18,1,56,16,0,5,2,5.0,Subscribed,3,1,7,0,2,0
54,MALE,7,0,94,32,1,7,0,4.4,Subscribed,2,1,41,4,2,0
31,MALE,5,1,48,49,2,1,0,4.1,Subscribed,5,1,14,2,6,1
57,MALE,12,0,31,32,0,1,3,4.7,Subscribed,4,1,16,2,4,0
33,MALE,5,1,79,47,0,3,3,4.7,Subscribed,5,1,45,5,4,2
36,MALE,10,3,67,15,1,19,2,4.9,Subscribed,2,1,37,5,0,2
54,MALE,13,1,38,5,0,8,2,3.3,Subscribed,5,1,45,1,5,0
36,MALE,24,1,91,33,0,22,1,4.6,Subscribed,0,1,38,4,5,2
54,MALE,2,1,33,20,1,5,2,4.0,Subscribed,0,1,48,2,1,0
35,MALE,24,1,69,12,1,12,3,4.6,Subscribed,2,1,44,4,3,2
35,MALE,11,1,45,13,2,5,2,2.8,Subscribed,5,1,10,4,6,2
29,MALE,5,1,37,8,1,18,3,3.750064716541548,Subscribed,0,1,44,5,2,1
70,MALE,13,1,60,2,2,21,2,4.2,Subscribed,1,1,18,2,4,3
69,MALE,7,0,76,17,0,0,3,4.6,Subscribed,3,1,31,3,5,3
67,MALE,15,0,39,1,1,14,1,4.5,Subscribed,4,1,40,5,0,3
20,MALE,4,3,100,41,1,0,1,4.1,Subscribed,2,1,15,4,0,1
25,MALE,15,0,69,34,0,10,0,3.7,Subscribed,5,1,19,4,3,1
39,MALE,8,0,53,16,2,19,2,4.6,Subscribed,2,1,45,4,6,2
50,MALE,21,1,21,41,3,9,0,2.9,Subscribed,0,1,25,4,0,0
57,MALE,16,1,43,4,0,23,2,2.9,Subscribed,5,1,45,1,5,0
55,MALE,12,0,54,25,1,4,3,4.5,Subscribed,2,1,36,1,6,0
42,MALE,16,1,55,27,1,14,2,2.7,Subscribed,5,1,38,1,4,2
68,MALE,9,1,30,29,2,9,1,4.6,Subscribed,3,1,34,3,1,3
49,MALE,2,1,28,19,1,18,1,3.750064716541548,Subscribed,5,1,39,3,1,0
59,MALE,19,1,59,44,3,7,3,4.7,Subscribed,0,1,7,2,5,3
42,MALE,24,1,20,1,1,8,2,2.6,Subscribed,2,1,26,2,6,2
29,MALE,19,1,24,23,2,15,3,3.9,Subscribed,3,1,35,2,6,1
47,MALE,4,3,94,30,1,3,2,4.2,Subscribed,3,1,35,3,1,0
40,MALE,10,3,28,39,1,10,3,3.0,Subscribed,0,1,49,2,0,2
41,MALE,0,0,73,23,3,3,2,4.7,Subscribed,5,1,46,2,6,2
21,MALE,4,3,64,47,1,23,2,4.4,Subscribed,5,1,17,3,3,1
69,MALE,9,1,54,24,1,4,2,4.2,Subscribed,2,1,29,5,4,3
63,MALE,1,0,79,17,0,24,1,4.6,Subscribed,4,1,4,3,6,3
50,MALE,23,1,37,11,0,3,2,4.0,Subscribed,1,1,17,1,6,0
55,MALE,15,0,68,42,1,14,3,4.7,Subscribed,5,1,21,2,2,0
30,MALE,20,2,21,23,2,11,1,3.8,Subscribed,2,1,31,2,3,1
33,MALE,22,0,79,2,0,10,3,2.7,Subscribed,0,1,43,2,6,2
65,MALE,3,2,83,0,2,8,0,4.8,Subscribed,4,1,18,3,3,3
